date,Average temperature (°F),Average humidity (%),Average dewpoint (°F),Average barometer (in),Average windspeed (mph),Average gustspeed (mph),Average direction (°deg),Rainfall for month (in),Maximum temperature (°F),Minimum temperature (°F),Maximum humidity (%),Minimum humidity (%),Maximum pressure,Minimum pressure,Maximum windspeed (mph)
2009-06-26,61.1,62.0,46.7,29.7,5.9,6.7,334.0,1.42,75.0,49.5,92.0,32.0,29.804,29.572,19.6
2009-06-27,63.9,43.0,39.0,29.9,8.5,8.6,357.0,1.42,76.1,53.6,70.0,14.0,30.001,29.697,18.4
2009-06-28,62.0,56.0,43.6,29.9,7.0,8.3,22.0,1.42,75.3,42.8,92.0,27.0,30.049,29.78,13.8
2009-06-29,62.5,49.0,39.7,29.8,4.7,5.7,21.0,1.43,78.8,43.2,86.0,16.0,29.947,29.731,20.7
2009-06-30,63.0,37.0,31.5,29.8,3.9,5.1,25.0,1.43,81.2,40.6,74.0,11.0,29.93,29.689,16.1
2009-07-01,62.0,46.0,37.5,29.8,4.9,6.0,359.0,0.04,79.2,41.2,91.0,15.0,29.881,29.686,24.2
2009-07-02,58.8,75.0,50.0,29.9,4.6,4.6,0.0,0.29,75.8,44.9,94.0,41.0,30.09,29.79,11.5
2009-07-03,60.9,68.0,49.1,29.9,5.2,5.8,334.0,0.39,73.1,53.2,92.0,39.0,29.948,29.773,19.6
2009-07-04,56.2,79.0,49.7,30.0,4.8,5.3,12.0,0.78,66.8,45.7,92.0,58.0,30.078,29.858,13.8
2009-07-05,55.7,75.0,47.1,30.0,4.0,5.1,36.0,0.78,69.3,41.6,95.0,47.0,30.115,29.845,17.3
2009-07-06,59.2,56.0,40.5,29.8,5.1,6.7,348.0,0.78,74.0,41.2,94.0,20.0,29.995,29.654,26.5
2009-07-07,62.5,51.0,40.0,29.7,4.6,5.8,337.0,0.78,81.4,42.2,82.0,13.0,29.831,29.605,18.4
2009-07-08,65.5,43.0,34.8,29.7,8.7,10.1,315.0,0.78,80.5,44.8,93.0,12.0,29.768,29.564,25.3
2009-07-09,60.4,55.0,43.1,29.8,9.8,10.1,4.0,0.78,75.8,40.9,86.0,28.0,29.834,29.678,15.0
2009-07-10,61.8,55.0,40.2,29.9,7.6,8.1,358.0,0.78,81.1,42.8,87.0,13.0,30.016,29.819,16.1
2009-07-11,66.1,49.0,41.9,29.9,5.0,6.0,10.0,0.78,85.3,46.7,87.0,14.0,30.109,29.792,18.4
2009-07-12,67.1,43.0,42.4,29.9,8.1,8.1,358.0,0.78,78.1,53.2,74.0,27.0,29.966,29.768,11.5
2009-07-13,63.5,54.0,42.7,29.8,10.9,12.0,344.0,0.8,82.6,43.8,88.0,21.0,29.992,29.623,17.3
2009-07-14,68.1,35.0,35.8,29.7,12.7,12.7,0.0,0.81,81.4,50.4,69.0,13.0,29.865,29.605,12.7
2009-07-15,64.9,37.0,31.9,29.9,12.7,12.7,0.0,0.81,81.7,42.5,77.0,9.0,29.972,29.839,12.7
2009-07-16,64.0,34.0,31.6,29.9,7.7,8.0,358.0,0.81,80.7,42.2,67.0,10.0,30.031,29.832,15.0
2009-07-17,63.0,38.0,34.6,30.0,3.3,3.7,7.0,0.81,78.3,42.8,67.0,13.0,30.063,29.905,17.3
2009-07-18,61.2,58.0,44.6,30.0,7.5,7.6,2.0,0.81,76.7,42.9,88.0,30.0,30.127,29.924,10.4
2009-07-19,66.4,43.0,37.9,29.9,3.8,3.8,360.0,0.81,84.7,43.8,87.0,14.0,29.996,29.678,10.4
